method_id,user_id,method_type,method_details,is_default,created_at,updated_at
1,64,CARD,"Esse tractatas, ne ipsos quidem Graecos est cur tam multos legant, quam legendi sunt. Quid enim me prohiberet Epicureum esse, si probarem, quae ille diceret? Cum praesertim illa perdiscere ludus esset. Quam ob.",0,2024-01-27 09:58:57,2024-01-29 05:37:28
5,64,BANK_TRANSFER,"Omnes atomi declinabunt, nullae umquam cohaerescent, sive aliae declinabunt, aliae suo nutu.",0,2024-01-27 10:21:50,2024-01-29 23:30:20
6,14,UPI,"Quam fieri quicquam sine causa eripuit atomis nec tamen id, cuius causa haec finxerat, assecutus est. Nam si omnes atomi declinabunt, nullae umquam cohaerescent, sive aliae declinabunt, aliae suo nutu recte ferentur, primum erit hoc quasi.",0,2024-01-27 10:31:17,2024-01-28 20:36:41
8,62,WALLET,"Misisti. Sed ex eo credo quibusdam usu venire; ut abhorreant a Latinis, quod inciderint in inculta quaedam et quasi involuta aperiri, altera prompta et aperta iudicari. Etenim quoniam detractis de homine sensibus reliqui nihil est, necesse est, quid aut ad.",0,2024-01-27 10:46:42,2024-01-30 03:40:15
12,80,WALLET,"Aetatis percipi posse, quam ex hoc percipiatur.",0,2024-01-27 11:10:10,2024-02-03 06:37:28
15,23,BANK_TRANSFER,"Minus, animo aequo e vita, cum ea non placeat, tamquam e theatro exeamus. Quibus rebus intellegitur nec intemperantiam propter se ipsos amentur.",0,2024-01-27 11:34:16,2024-02-02 04:06:13
16,48,BANK_TRANSFER,Fastidium. Non est omnino hic docendi locus; sed ita sentio et saepe.,0,2024-01-27 11:39:38,2024-01-27 19:48:32
17,18,BANK_TRANSFER,"Nostrud exercitation ullamco laboris nisi ut aliquid ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate est. Extremum autem esse bonorum voluptatem ex infinito tempore aetatis percipi posse, quam ex hoc facillime perspici.",0,2024-01-27 11:45:54,2024-02-05 19:11:12
19,27,WALLET,"Inferiorem locum petentium sine causa dicere, -- et.",0,2024-01-27 12:02:40,2024-02-03 13:21:35
20,17,UPI,"Non posse reperiri. Quapropter si ea, quae hoc non minus declarant, sed videntur leviora, veniamus. Quid tibi, Torquate, quid huic Triario litterae, quid historiae cognitioque rerum, quid poetarum evolutio, quid tanta tot versuum memoria voluptatis affert? Nec mihi tamen, ne faciam, interdictum puto. Locos quidem quosdam, si videbitur, transferam, et maxime ab.",0,2024-01-27 12:05:13,2024-02-04 20:19:20
22,93,CARD,"Nati, et ad usus civium non inutile, nosque ea scripta reliquaque eiusdem generis et legimus libenter et legemus --, haec, quae de philosophia litteris mandamus, legere assueverit, iudicabit nulla ad legendum his esse potiora. Quid est enim aut utilior aut ad naturam aut contra.",0,2024-01-27 12:14:02,2024-01-29 00:35:49
23,16,BANK_TRANSFER,"Et quaerendi defatigatio turpis est, cum id, quod his libris quaeritur, qui.",0,2024-01-27 12:23:06,2024-02-04 18:55:48
24,92,BANK_TRANSFER,"Etiam praetereat omnes voluptates, dolores denique quosvis suscipere malit quam deserere ullam officii partem, ad ea.",0,2024-01-27 12:24:23,2024-02-02 02:46:11
25,4,UPI,"Sic verterem Platonem aut Aristotelem, ut verterunt nostri poetae fabulas, male, credo, mererer de meis civibus, si ad eorum cognitionem divina illa ingenia transferrem.",0,2024-01-27 12:29:38,2024-01-27 23:40:27
27,41,UPI,"Usus civium non inutile, nosque ea scripta reliquaque eiusdem generis et legimus libenter et legemus --, haec, quae de philosophia litteris.",0,2024-01-27 12:37:07,2024-01-31 16:27:17
29,68,BANK_TRANSFER,"Abest plurimum et, cum stultorum vitam cum sua comparat, magna afficitur voluptate. Dolores autem si qui incurrunt, numquam vim tantam habent, ut non modo quid nobis probaretur, sed etiam effectrices sunt voluptatum tam amicis quam sibi.",0,2024-01-27 12:50:24,2024-02-02 03:24:43
31,7,UPI,"Quis alienum putet eius esse dignitatis, quam mihi quisque tribuat, quid in omni munere.",0,2024-01-27 13:06:21,2024-02-04 16:51:24
32,41,UPI,Atque ad beate vivendum se ipsa esse contentam. Sed possunt haec quadam ratione dici non necesse est. Tribus.,0,2024-01-27 13:12:08,2024-02-05 17:36:03
33,64,UPI,"Prima veniat in medium Epicuri ratio, quae plerisque notissima est. Quam a nobis explicatam esse his litteris arbitramur, in quibus, quantum potuimus, non modo non repugnantibus, verum.",0,2024-01-27 13:17:21,2024-01-30 20:26:17
34,24,CARD,"Mundi, quaeque in eo filio adhibuit, quem in adoptionem D. Silano emancipaverat, ut eum Macedonum.",0,2024-01-27 13:25:34,2024-01-30 02:02:25
35,22,BANK_TRANSFER,"Maxime ab iis, quos modo nominavi, cum.",0,2024-01-27 13:32:43,2024-02-01 21:41:00
36,40,WALLET,"Postremo aliquos futuros suspicor, qui me ad alias litteras vocent.",0,2024-01-27 13:38:27,2024-01-31 04:53:35
37,47,WALLET,"Autem ita frui volunt voluptatibus, ut nulli propter eas consequantur dolores, et qui suum iudicium retinent, ne voluptate victi faciant id, quod sentiant non esse faciendum, ii voluptatem maximam adipiscuntur praetermittenda voluptate. Idem etiam dolorem saepe perpetiuntur, ne, si id non faciant, incidant in.",0,2024-01-27 13:42:29,2024-01-29 03:21:40
38,98,CARD,"Melius erimus, cum didicerimus quid natura postulet non.",0,2024-01-27 13:46:07,2024-01-30 00:35:06
40,84,WALLET,"Peccant, cum e quibus haec efficiantur ignorant. Animi autem morbi sunt cupiditates.",0,2024-01-27 13:55:32,2024-01-29 06:49:57
41,81,CARD,"Voluptatibus esse deditum dicitis; non posse reperiri. Quapropter si ea, quae hoc non minus declarant, sed videntur leviora, veniamus. Quid tibi, Torquate, quid huic Triario litterae, quid historiae cognitioque rerum, quid poetarum evolutio, quid tanta tot.",0,2024-01-27 13:59:59,2024-01-28 20:59:00
42,99,CARD,"Alii minuti et angusti aut omnia semper desperantes aut malivoli, invidi, difficiles, lucifugi, maledici, monstruosi, alii autem etiam amaret, cotidieque inter nos de litteris, quarum summum erat in utroque studium, deinde Torquatus: Quoniam nacti te, inquit, sumus aliquando otiosum, certe audiam, quid sit, quod.",0,2024-01-27 14:00:59,2024-01-28 04:44:47
44,44,WALLET,"Quae voluptaria, delicata, mollis habeatur disciplina, quam gravis, quam continens, quam severa sit. Non enim hanc solam sequimur, quae suavitate aliqua naturam ipsam movet et cum iucunditate quadam.",0,2024-01-27 14:05:26,2024-02-05 15:36:05
46,15,BANK_TRANSFER,"Disserendi locus. Nunc autem explicabo, voluptas ipsa quae qualisque sit, ut tollatur error omnis imperitorum intellegaturque ea, quae.",0,2024-01-27 14:16:06,2024-01-28 07:23:31
48,85,WALLET,"Quos tu paulo ante collegi, abest plurimum et, cum stultorum vitam cum sua comparat, magna afficitur voluptate. Dolores autem si qui incurrunt, numquam vim tantam habent, ut.",0,2024-01-27 14:20:43,2024-02-04 03:50:32
51,55,CARD,"Dolor sit, amet, consectetur, adipisci velit, sed quia pacem animis afferat et eos quasi concordia quadam placet ac leniat. Temperantia est enim, quod tibi.",0,2024-01-27 14:42:43,2024-02-05 13:36:01
54,28,CARD,"Torquentur, sapientes bona praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt et, si essent vera, nihil afferrent.",0,2024-01-27 15:03:40,2024-01-28 16:52:15
55,25,CARD,"Non placebit Latine? Quid? Si nos non interpretum fungimur munere, sed tuemur ea, quae praeterierunt, acri animo et corpore voluptatibus nullo dolore nec impediente nec inpendente, quem tandem.",0,2024-01-27 15:11:38,2024-01-27 17:28:55
56,100,WALLET,"Esse omne iudicium veri et falsi putat. Confirmat autem illud vel maxime, quod ipsa natura incorrupte atque integre iudicante. Itaque negat opus esse ratione neque disputatione, quam ob rem voluptas expetenda, fugiendus dolor sit. Sentiri haec putat, ut calere ignem, nivem esse albam, dulce mel. Quorum nihil oportere.",0,2024-01-27 15:15:28,2024-02-04 09:00:41
59,86,UPI,"Satis non queo unde hoc sit tam insolens domesticarum rerum fastidium. Non est omnino hic docendi locus; sed ita sentio et saepe disserui, Latinam linguam non modo singulos homines, sed universas familias evertunt, totam etiam labefactant saepe rem publicam. Ex.",0,2024-01-27 15:32:42,2024-01-28 03:08:25
63,58,WALLET,"Quodsi ne ipsarum quidem virtutum laus, in qua maxime ceterorum philosophorum exultat.",0,2024-01-27 15:51:44,2024-02-02 23:27:19
64,95,CARD,"Quas appellat, id est voluptatem. Homines optimi non intellegunt totam rationem everti.",0,2024-01-27 15:53:26,2024-01-31 06:56:58
65,89,BANK_TRANSFER,"Administrari neque maiorem voluptatem ex hoc percipiatur, quod videamus esse finitum. In dialectica autem vestra nullam existimavit esse nec ad commodius disserendum viam. In physicis plurimum posuit. Ea scientia et verborum vis et natura orationis et.",0,2024-01-27 15:59:06,2024-01-31 19:54:35
69,91,UPI,"Ipsa esse contentam. Sed possunt haec quadam ratione dici non modo voluptatem esse, verum etiam summam voluptatem. Quisquis enim sentit, quem ad modum, quaeso.",0,2024-01-27 16:21:05,2024-02-03 04:39:02
70,7,CARD,"Putemus, tota amicitia quasi claudicare videatur. Itaque primos congressus copulationesque et consuetudinum instituendarum voluntates fieri propter voluptatem; cum.",0,2024-01-27 16:28:21,2024-02-06 07:19:47
72,4,UPI,"Nisi te audire vellem, censes haec dicturum fuisse? Utrum igitur percurri omnem Epicuri disciplinam placet an de una voluptate quaeri, de qua omne certamen est? Tuo vero id quidem, inquam, arbitratu. Sic faciam igitur, inquit: unam rem explicabo, eamque maximam, de physicis alias, et quidem tibi et declinationem.",0,2024-01-27 16:33:06,2024-01-31 08:48:35
74,54,WALLET,"Qui dolorem ipsum, quia dolor sit, amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt, ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim.",0,2024-01-27 16:45:04,2024-01-28 23:14:15
78,57,CARD,"Persecuti sumus. Ut autem a facillimis ordiamur, prima veniat in medium Epicuri ratio, quae plerisque.",0,2024-01-27 17:16:39,2024-01-30 13:56:34
79,28,WALLET,"Sed tamen satis acuti, qui verentur ne, si id non faciant, incidant.",0,2024-01-27 17:19:36,2024-02-06 13:44:22
80,55,WALLET,"Doloris amotio successionem efficit voluptatis. Itaque non placuit Epicuro medium esse quiddam inter dolorem et voluptatem; illud enim ipsum, quod quibusdam medium videretur, cum omni dolore et molestia.",0,2024-01-27 17:20:49,2024-02-02 02:57:51
81,98,CARD,"Se texit, ne interiret. -- At magnum periculum adiit. -- In oculis quidem exercitus. -- Quid ex eo est consecutus? -- Laudem et caritatem.",0,2024-01-27 17:28:41,2024-02-05 01:29:33
83,12,UPI,"Esse dignitatis, quam mihi quisque tribuat, quid in omni.",0,2024-01-27 17:38:44,2024-01-29 11:41:34
84,8,BANK_TRANSFER,"Aeterno tempore intellegi convenire. Epicurus autem, in quibus tam multis tamque variis ab ultima.",0,2024-01-27 17:40:34,2024-01-30 08:41:44
85,6,WALLET,"Animi, id est quae ad amicos pertinerent, negarent.",0,2024-01-27 17:41:44,2024-01-30 21:24:39
86,9,WALLET,"Solida corpora ferri deorsum suo pondere ad lineam, hunc naturalem esse omnium corporum.",0,2024-01-27 17:42:51,2024-02-04 20:19:00
87,4,UPI,Necesse est in voluptate. Neque enim disputari sine reprehensione nec cum iracundia aut pertinacia recte disputari potest. Sed.,0,2024-01-27 17:46:17,2024-02-05 11:17:25
90,81,CARD,"Placet: constituam, quid et quale sit id, de quo quaerimus, non quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum in sensibus ponit, quibus si semel aliquid falsi pro vero probatum sit, sublatum esse omne.",0,2024-01-27 17:57:39,2024-01-30 17:20:07
91,88,WALLET,"Quodsi Graeci leguntur a Graecis isdem de rebus alia ratione compositis, quid est, cur nostri a nostris de amicitia dicenda.",0,2024-01-27 18:01:33,2024-01-29 13:11:26
92,10,WALLET,"Impetum fecisse aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil ut de omni virtute sit dictum. Sed similia fere dici possunt. Ut enim medicorum scientiam non ipsius artis, sed bonae valetudinis causa probamus, et gubernatoris ars, quia bene navigandi rationem habet.",0,2024-01-27 18:03:35,2024-02-03 09:49:20
95,3,WALLET,"Esse dicemus, sed quia consequuntur magni dolores eos, qui ratione.",0,2024-01-27 18:26:49,2024-02-02 12:07:52
99,57,UPI,"Modus ullus nec finis inveniri potest. Quodsi corporis gravioribus morbis vitae iucunditas impeditur, quanto magis animi.",0,2024-01-27 18:35:06,2024-02-04 18:56:44
100,15,UPI,"Eadem illa atomorum, in quo etiam Democritus haeret, turbulenta concursio hunc mundi ornatum efficere non poterit. Ne illud quidem physici, credere.",0,2024-01-27 18:39:45,2024-02-03 15:03:03
2,99,BANK_TRANSFER,"Alias, et quidem tibi et declinationem istam atomorum et magnitudinem solis probabo et Democriti errata ab Epicuro sapiens semper beatus inducitur: finitas.",1,2024-01-27 10:08:07,2024-02-03 07:17:13
3,40,BANK_TRANSFER,"Earum explicatis, et, ut dixi, ad lineam, hunc naturalem esse omnium corporum motum. Deinde ibidem homo acutus, cum illud ocurreret, si omnia deorsus e.",1,2024-01-27 10:13:51,2024-02-03 15:21:43
4,22,WALLET,"Appareat, doctrina mediocris. Ego autem quem.",1,2024-01-27 10:16:24,2024-02-01 21:25:49
7,78,UPI,"Metu omnis quietae vitae status perturbatur, et ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est, ob eamque debilitatem animi multi parentes, multi amicos, non.",1,2024-01-27 10:36:52,2024-01-31 14:28:04
9,25,BANK_TRANSFER,"Medium esse quiddam inter dolorem et voluptatem; illud enim ipsum, quod quibusdam medium videretur, cum omni dolore et molestia perfruique maximis et animi et corporis voluptatibus, videtisne quam nihil molestiae consequatur, vel illum, qui dolorem eum fugiat, quo voluptas nulla pariatur? At vero eos et accusamus et iusto.",1,2024-01-27 10:49:59,2024-01-31 18:07:19
10,67,UPI,Clarorum hominum factis illustribus et gloriosis satis.,1,2024-01-27 10:55:34,2024-01-28 07:39:53
11,88,WALLET,"Vera esse non possunt, conficiuntur et angore.",1,2024-01-27 11:02:45,2024-01-29 19:29:52
13,84,BANK_TRANSFER,Oratio me istius philosophi non.,1,2024-01-27 11:20:09,2024-02-02 00:35:24
14,34,CARD,"Ignorare vos arbitrer, sed ut ratione et via procedat oratio. Quaerimus igitur, quid sit extremum et ultimum bonorum, quod omnium philosophorum sententia.",1,2024-01-27 11:24:21,2024-01-27 12:08:42
18,41,UPI,"Probaturum esse confidam. Certe, inquam, pertinax non ero tibique, si mihi probabis ea, quae dicta sunt ab iis quos probamus, eisque nostrum iudicium et nostrum scribendi ordinem adiungimus, quid habent, cur Graeca.",1,2024-01-27 11:53:19,2024-01-31 01:40:46
21,50,UPI,"Si infantes pueri, mutae etiam bestiae paene loquuntur magistra ac duce natura nihil esse maius.",1,2024-01-27 12:11:37,2024-01-28 10:20:15
26,92,WALLET,"Ob aliquam causam ista, quae sine dubio praeclara sunt, fecerint.",1,2024-01-27 12:34:30,2024-02-05 18:50:23
28,91,BANK_TRANSFER,"Et posse fieri intellegimus et saepe etiam videmus, et perspicuum est omnis rectas res atque laudabilis eo referri, ut cum.",1,2024-01-27 12:45:01,2024-02-04 10:37:50
30,43,UPI,"Eum Torquatum, qui hoc primus cognomen invenerit, aut.",1,2024-01-27 12:58:10,2024-01-30 13:35:14
39,5,CARD,Accommodare Torquatos nostros? Quos tu paulo ante cum.,1,2024-01-27 13:49:18,2024-01-30 07:34:26
43,6,CARD,"Domo, et ea quidem angusta, quam magnos quantaque amoris conspiratione consentientis tenuit amicorum greges! Quod fit etiam nunc.",1,2024-01-27 14:03:08,2024-02-02 14:58:32
45,12,WALLET,"Si equos, si ludicra exercendi aut venandi consuetudine.",1,2024-01-27 14:12:49,2024-02-02 13:26:29
47,85,CARD,"'Non est igitur voluptas bonum.' Hoc ne statuam quidem dicturam pater aiebat, si loqui.",1,2024-01-27 14:19:18,2024-01-28 14:50:21
49,88,UPI,"Cognitionis regula et iudicio ab eadem illa atomorum, in quo nihil nec summum nec infimum nec medium nec ultimum nec.",1,2024-01-27 14:26:22,2024-02-03 00:28:14
50,73,CARD,"Quidem consilio, tuum iudicium ut cognoscerem, quoniam mihi ea facultas, ut id apte fieri.",1,2024-01-27 14:35:09,2024-02-03 09:44:09
52,39,BANK_TRANSFER,"Omnem quaestionem de finibus bonorum et malorum, id est laborum et dolorum fuga. Et harum quidem rerum facilis.",1,2024-01-27 14:50:11,2024-02-04 18:11:15
53,3,UPI,"Cedentem in philosophia audeam scribere? Quamquam a te ipso id quidem facio provocatus gratissimo mihi libro, quem ad modum eae semper voluptatibus inhaererent, eadem de amicitia dicenda sunt. Praeclare enim Epicurus his paene verbis: 'Eadem', inquit.",1,2024-01-27 14:55:49,2024-02-04 20:06:54
57,38,WALLET,"Atque nostra et pariter dolemus angoribus. Quocirca eodem modo sapiens erit affectus erga amicum, quo in se ipsum, quosque labores propter suam voluptatem susciperet, eosdem suscipiet propter amici voluptatem. Quaeque de virtutibus dicta sunt, explicabo. Nemo enim ipsam voluptatem, quia voluptas sit, aspernatur aut odit aut fugit, sed quia pacem animis afferat.",1,2024-01-27 15:20:49,2024-01-31 02:51:08
58,3,WALLET,"Nos non interpretum fungimur munere, sed tuemur ea, quae praeterierunt, acri animo et corpore voluptatibus nullo dolore nec impediente nec inpendente, quem tandem hoc statu praestabiliorem aut magis.",1,2024-01-27 15:30:46,2024-01-30 14:07:15
60,25,BANK_TRANSFER,"Periculis non deseruisse mihi videor praesidium, in quo etiam Democritus.",1,2024-01-27 15:34:47,2024-02-06 10:32:14
61,31,UPI,Expetendam et insipientiam propter molestias esse fugiendam? Eademque ratione ne temperantiam quidem propter.,1,2024-01-27 15:43:26,2024-02-05 06:00:55
62,93,CARD,"Aliquid cognosci et percipi. Quos qui tollunt et nihil posse percipi dicunt, ii remotis sensibus ne id ipsum quidem expedire possunt, quod.",1,2024-01-27 15:50:08,2024-01-28 14:51:45
66,55,BANK_TRANSFER,"Quanta ad augendas, cum conscientia factorum, tum poena legum odioque civium?",1,2024-01-27 16:01:58,2024-01-30 00:36:20
67,30,WALLET,"Dolores eos, qui ratione voluptatem.",1,2024-01-27 16:05:10,2024-01-28 09:34:31
68,7,UPI,". . .' nihilo minus legimus quam hoc idem Graecum, quae autem tanta ex improbis factis ad minuendas vitae molestias accessio potest fieri, quanta ad augendas, cum.",1,2024-01-27 16:14:02,2024-01-30 22:44:42
71,38,BANK_TRANSFER,"Vexetur, ob eumque errorem et.",1,2024-01-27 16:30:05,2024-02-04 13:18:40
73,30,UPI,"Ipse dissidens secumque discordans gustare partem ullam liquidae voluptatis et liberae potest. Atqui pugnantibus et contrariis studiis consiliisque semper utens nihil quieti videre, nihil tranquilli potest. Quodsi corporis gravioribus morbis.",1,2024-01-27 16:40:03,2024-02-01 08:39:14
75,39,BANK_TRANSFER,"Metu vera sentit, non dubitat, si ita melius sit, migrare de vita. His rebus peccant, cum e quibus haec efficiantur ignorant. Animi autem morbi sunt cupiditates inmensae et inanes divitiarum, gloriae, dominationis, libidinosarum.",1,2024-01-27 16:54:57,2024-02-04 17:56:26
76,46,BANK_TRANSFER,"Corpus, quantum efficere possimus, molestia liberemus. Ut enim virtutes, de quibus neque depravate iudicant neque corrupte, nonne ei maximam gratiam habere debemus, qui hac exaudita quasi voce naturae sic eam firme graviterque comprehenderit, ut omnes bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti iniuste facta conducunt, qui nec facile.",1,2024-01-27 16:58:03,2024-01-29 05:49:45
77,30,UPI,"Philosophi Graeco sermone tractavissent, ea Latinis litteris mandaremus, fore ut atomus altera alteram posset attingere itaque ** attulit rem commenticiam: declinare dixit atomum perpaulum, quo nihil posset fieri minus; ita effici complexiones et copulationes et adhaesiones atomorum inter se, ex quo intellegitur nec intemperantiam propter se expetendam esse dicemus, sed quia maiores.",1,2024-01-27 17:07:14,2024-02-03 05:47:40
82,91,WALLET,"Movere hominum studia viderer, retinere non posse. Qui autem, si maxime hoc placeat, moderatius tamen id volunt fieri, difficilem quandam temperantiam postulant in eo, qui ita sit affectus, eum necesse est in voluptate. Neque enim disputari sine reprehensione nec cum iracundia aut pertinacia recte disputari potest. Sed ad haec, nisi molestum est, habeo quae velim. An.",1,2024-01-27 17:34:51,2024-02-05 15:11:33
88,33,CARD,"Similia fere dici possunt. Ut enim virtutes, de quibus et ab Epicuro scriptum est.",1,2024-01-27 17:50:54,2024-02-04 16:39:09
89,61,UPI,"Et sapientiam propter voluptates expetendam et insipientiam propter molestias esse fugiendam? Eademque ratione ne temperantiam quidem propter se expetendam esse dicemus, sed quia iucunditatis vel plurimum afferat. Nam diligi et carum esse.",1,2024-01-27 17:55:39,2024-01-27 18:27:09
93,51,WALLET,"Hostis mi Albucius, hinc inimicus. Sed iure Mucius. Ego autem mirari satis non queo unde hoc sit tam insolens domesticarum rerum fastidium. Non est omnino hic.",1,2024-01-27 18:12:32,2024-02-01 16:06:13
94,33,WALLET,"Extremum sit, ita ferri, ut concursionibus inter se cohaerescant, ex quo vitam amarissimam necesse est in voluptate. Neque enim tempus est ullum, quo non plus voluptatum habeat quam dolorum. Nam et praeterita et.",1,2024-01-27 18:17:41,2024-02-02 18:08:41
96,52,CARD,Secumque discordans gustare partem ullam liquidae voluptatis et liberae potest.,1,2024-01-27 18:27:52,2024-01-31 13:39:23
97,78,CARD,"Doloribus torqueantur, sapientia est adhibenda, quae et terroribus cupiditatibusque detractis et omnium falsarum opinionum temeritate derepta certissimam se nobis ducem praebeat ad voluptatem. Sapientia enim est una, quae.",1,2024-01-27 18:30:39,2024-01-29 10:19:13
98,25,CARD,"Atque admonitionem. Altera occulta quaedam et horrida, de malis Graecis Latine scripta deterius. Quibus ego assentior, cum a.",1,2024-01-27 18:33:08,2024-01-30 21:10:47
